review_scores_rating,name_sentiment,description_sentiment,neighborhood_overview_sentiment,host_duration_years,host_about_sentiment,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_phone_verified,host_email_verified,host_work_email_verified,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,years_since_first_review,years_since_last_review,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_sentiment,review_sentiment_average
4.9,0,21,33,9.808219178,26,0,0,-1,1,1,1,1,-1,1,1,3,0.5,2,2,65,1,4,1,1,4,4,1,4,1,0,0,0,0,204,0,0,9.789041096,4.846575342,-1,1,0,1,0,1.77,2718,13.32352941
4.31,0,10,3,11.24657534,0,1,0.92,-1,3,5,1,1,-1,1,1,2,0.5,0,1,53,1,3,1,1,3,3,1,3,1,2,14,28,70,254,49,2,8.139726027,0.339726027,-1,3,3,0,0,2.66,1298,5.150793651
4.9,0,8,16,9.794520548,2,1,0.63,1,2,3,1,1,-1,1,1,2,0.5,0,1,200,7,365,7,7,365,365,7,365,1,0,0,0,0,10,0,0,8.378082192,5.375342466,-1,1,1,0,0,0.1,133,13.3
4.9,1,8,3,9.720547945,14,1,0.84,-1,1,1,1,1,1,1,1,1,0.5,1,1,85,3,20,3,3,20,20,3,20,1,21,51,81,345,72,19,4,9.610958904,0.323287671,-1,1,0,1,0,0.64,881,12.23611111
4.64,3,20,5,11.46849315,26,0.5,0,-1,1,1,1,1,-1,1,1,2,0.5,1,1,75,5,22,5,5,22,22,5,22,1,0,10,40,315,50,0,0,9.380821918,3.64109589,-1,1,0,1,0,0.45,611,12.22
4.86,0,12,2,9.709589041,0,1,0.79,-1,1,1,1,1,-1,1,1,2,0.5,1,1,106,3,7,3,3,7,7,3,7,1,0,0,4,4,240,10,1,9.619178082,0.353424658,-1,1,1,0,0,2.12,2414,10.05833333
4.83,6,7,3,10.33150685,10,1,0.96,1,1,4,1,1,-1,1,1,4,0.5,2,2,271,3,30,3,3,1125,1125,3,1125,1,10,16,44,44,329,22,5,7.545205479,0.320547945,-1,1,1,0,0,3.73,3357,10.2347561
4.89,4,13,-1,9.619178082,8,1,0.6,-1,8,9,1,-1,-1,1,1,9,0.5,5,5,336,5,1125,5,5,1125,1125,5,1125,1,0,0,0,0,18,1,1,9.490410959,0.378082192,-1,8,2,6,0,0.16,307,17.05555556
4.93,0,17,18,9.6,5,1,0.74,-1,1,2,1,1,1,1,1,8,0.5,4,4,270,5,28,5,5,28,28,5,28,1,2,3,3,132,72,10,3,9.42739726,0.309589041,-1,1,1,0,0,0.65,1132,15.72222222
4.9,2,2,0,9.561643836,17,0.9,0.59,1,3,4,1,1,-1,1,1,1,0.5,1,0,40,30,1125,30,30,1125,1125,30,1125,1,2,2,2,121,10,1,0,9.389041096,1.084931507,-1,3,0,3,0,0.09,105,10.5
4.89,0,10,2,11.75890411,5,0.63,0.44,-1,1,1,1,1,-1,1,1,6,0.5,1,6,50,1,1125,1,1,1125,1125,1,1125,1,1,11,41,316,9,2,0,8.315068493,0.704109589,-1,1,0,1,0,0.09,120,13.33333333
